display_app	name_app	name_tse	name_classic	type_py	type_R	aggregate	parameter
Subject	subject	Animal No.	CHAN	string	character	NA	0
Interval	interval	NA	INTERVAL	int	numeric	NA	0
Date-Time	date-time	NA	DATE/TIME	string	character	first	0
NA	NA	Date	NA	string	character	NA	0
NA	NA	Time	NA	string	character	NA	0
Temperature	temp	TempC	TEMP AMB	float	double	mean	0
Light	light	LightC	ROOM LIGHT	int	numeric	first	0
VO2	vo2	VO2(1)	VO2	float	double	mean	1
VCO2	vco2	VCO2(1)	VCO2	float	double	mean	1
RER	rer	RER	RER	float	double	mean	1
Heat	heat	H(1)	HEAT	float	double	mean	1
XY Total Movement	xyt	XT+YT	NA	int	numeric	sum	1
X Total Movement	xt	XT	XTOT	int	numeric	sum	1
X Ambulatory Movement	xa	XA	XAMB	int	numeric	sum	1
X F Movement	xf	XF	NA	int	numeric	sum	1
Y Total Movement	yt	YT	YTOT	int	numeric	sum	1
Y Ambulatory Movement	ya	YA	YAMB	int	numeric	sum	1
Y F Movement	yf	YF	NA	int	numeric	sum	1
Z Movement	z	Z	ZTOT	int	numeric	sum	1
Drink	drink	Drink	DRINK1	float	double	mean	1
Feed	feed	Feed	FEED1	float	double	mean	1
Events	events	NA	NA	string	character	NA	0
